,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,nic_value,nic_messages
306,1618945202,a6a425,35.39627333818856,-110.1981889440658,257.2780682852229,104.1196029331349,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945198.064,1618945201.492,1618945200,9,1
307,1618945203,a6a425,35.39382934570312,-110.1861763000488,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945202.325,1618945202.625,1618945200,9,1
308,1618945204,a6a425,35.39352675615731,-110.1846897855718,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945203.013,1618945203.651,1618945200,9,1
309,1618945205,a6a425,35.39236295021186,-110.1790213077626,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945205.0,1618945205.0,1618945200,9,1
310,1618945206,a6a425,35.39236295021186,-110.1790213077626,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945205.0,1618945205.0,1618945200,9,1
311,1618945207,a6a425,35.39144897460938,-110.174674987793,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945206.631,1618945206.631,1618945200,9,1
312,1618945208,a6a425,35.39117431640625,-110.1733589172363,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945207.048,1618945207.733,1618945200,9,1
313,1618945209,a6a425,35.39053344726562,-110.1702690124512,256.7791970213768,104.1476053870017,0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945208.217,1618945208.217,1618945200,9,1
314,1618945210,a6a425,35.38961791992188,-110.1656913757324,256.7791970213768,104.1476053870017,0.0,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945209.911,1618945209.911,1618945200,9,1
315,1618945211,a6a425,35.38929050251589,-110.1642365151263,256.7791970213768,104.1476053870017,0.0,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945210.419,1618945210.419,1618945200,9,1
316,1618945212,a6a425,35.38873187566207,-110.1614899330951,256.7791970213768,104.1476053870017,0.0,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945211.44,1618945211.85,1618945200,9,1
317,1618945213,a6a425,35.38817324880826,-110.1588602268949,256.7791970213768,104.1476053870017,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945212.507,1618945212.507,1618945200,9,1
318,1618945214,a6a425,35.38752151747881,-110.1556461415392,256.9054221247216,104.2588582953175,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945213.588,1618945213.789,1618945200,9,1
319,1618945215,a6a425,35.38752151747881,-110.1556461415392,256.9054221247216,104.2588582953175,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945213.588,1618945213.789,1618945200,9,1
320,1618945216,a6a425,35.38640426377118,-110.1502698533078,256.9054221247216,104.2588582953175,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945215.532,1618945215.909,1618945200,9,1
321,1618945217,a6a425,35.38581848144531,-110.1476097106934,256.9054221247216,104.2588582953175,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945216.485,1618945216.485,1618945200,9,1
322,1618945218,a6a425,35.38526916503906,-110.1449203491211,256.9054221247216,104.2588582953175,-0.32512,NKS954,False,False,False,6745.0,10675.62,10850.88,1618945217.444,1618945217.811,1618945200,9,1
